Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","USD","461.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","526","Apricots","2017","2017","USD","599.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","44","Barley","2017","2017","USD","303.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","176","Beans, dry","2017","2017","USD","1710.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","414","Beans, green","2017","2017","USD","848.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2017","2017","USD","180.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2017","2017","USD","370.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","393","Cauliflowers and broccoli","2017","2017","USD","891.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","531","Cherries","2017","2017","USD","1346.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","220","Chestnut","2017","2017","USD","1640.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2017","2017","USD","553.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","577","Dates","2017","2017","USD","346.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2017","2017","USD","841.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2017","2017","USD","3108","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","569","Figs","2017","2017","USD","911.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","406","Garlic","2017","2017","USD","1903","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","560","Grapes","2017","2017","USD","694.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1182","Honey, natural","2017","2017","USD","11181.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2017","2017","USD","278.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","497","Lemons and limes","2017","2017","USD","1055.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","USD","616","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","56","Maize","2017","2017","USD","278.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2017","2017","USD","3199.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","USD","2469.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1033","Meat live weight, goat","2017","2017","USD","2192","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1056","Meat live weight, pig","2017","2017","USD","2961.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2017","2017","USD","2181.3","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1088","Meat live weight, turkey","2017","2017","USD","5422.2","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","568","Melons, other (inc.cantaloupes)","2017","2017","USD","432.5","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2017","2017","USD","350.2","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2017","2017","USD","461.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2017","2017","USD","665.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","234","Nuts, nes","2017","2017","USD","3540.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","75","Oats","2017","2017","USD","322.4","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","260","Olives","2017","2017","USD","1606.9","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","403","Onions, dry","2017","2017","USD","298.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2017","2017","USD","639.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","490","Oranges","2017","2017","USD","455.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","2017","2017","USD","503.1","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","521","Pears","2017","2017","USD","728.6","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","417","Peas, green","2017","2017","USD","627.8","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","536","Plums and sloes","2017","2017","USD","509.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","116","Potatoes","2017","2017","USD","281.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2017","2017","USD","626.7","","Official data"
"PP","Producer Prices - Annual","3","Albania","5532","Producer Price (USD/tonne)","523","Quinces","2017","2017","USD","688.9","","Official data"
