"ALMONDS, SHELLED",1150
"PECANS, IN SHELL",962
PISTACHIOS,1490
WALNUTS,2760
APPLES,25400
APRICOTS,11260
AVOCADOS,3680
"CHERRIES, SWEET",6660
DATES,9420
FIGS,4620
KIWI FRUIT,7860
NECTARINES,16080
OLIVES,4320
"PEACHES, ALL",31400
"PEARS, ALL",28200
"PEARS, BARTLETT",31600
PLUMS,10400
GRAPES,14770
OATS,2240
BARLEY,2833
WINTER WHEAT,4800
DURUM WHEAT,6300
SPINACH,11000
CARROT,19400
ONION,19800
SQUASH-WINTER,17000
POTATO-IRISH,15200
CELERY ,32000
CABBAGE ,13700
TOMATO ,11000
BEAN-SNAP ,4600
LETTUCE ,9100
TURNIP,12000
BROCCOLI ,7300
CAULIFLOWER,10800
BELL PEPPER ,6900
POTATO-SWEET ,6000
CORN ,6200
SQUASH-SUMMER,9700
BEET,10800
CANTALOUPE ,9800
PEA,2200
ASPARAGUS ,4400
CUCUMBER,8400
RADISH,12000
WATERMELON,10300
BEAN-LIMA ,1400
